Nr crt,DENUMIRE UNITATE,ADRESA,LOCALITATE,JUDET,TIP UNITATE,STELE
122,PENSIUNEA CERBUL,STR PRINCIPALA NR 259,DAMBOVICIOARA,ARGES,PENSIUNE,3
123,PENSIUNEA UNION JACK VILLA,STR PRINCIPALA NR 185,GEAMANA,ARGES,PENSIUNE,2
124,CABANA VOINA,STR PRINCIPALA FN,LERESTI,ARGES,CABANA,3
125,VILA MIMOZA,BD-UL TUDOR VLADIMIRESCU NR 4B,MARACINENI,ARGES,CAMERE DE INCHIRIAT,3
126,PENSIUNEA CASA DE PE DEAL,STR MATAU NR 41B,MIOARELE,ARGES,PENSIUNE,4
127,MIOVENI TRAVEL,B-DUL DACIA BL P 2A PARTER,MIOVENI,ARGES,AGENTIE DE TURISM,0
128,IMPACT TRAVEL,B-DUL DACIA NR 267 BL G1 SC D AP,MIOVENI,ARGES,AGENTIE DE TURISM,0
129,ALEXCRYS LUX TRAVEL,STR ION PILLAT BL V2C PARTER,MIOVENI,ARGES,AGENTIE DE TURISM,0
130,PENSIUNEA DANVI,STR PRINCIPALA SAT SLATINA,NUCSOARA,ARGES,PENSIUNE,3
131,VELMAR DREAMS,ALEEA ION TRIVALE NR 4,PITESTI,ARGES,AGENTIE DE TURISM,0
132,ACTIV TOURS&TRAVELS,BD REPUBLICII NR 40 BL 1 SC 17 A,PITESTI,ARGES,AGENTIE DE TURISM,0
133,AMBASADOR TOURS & TRAVELS,B-DUL I C BRATIANU NR C1-C2,PITESTI,ARGES,AGENTIE DE TURISM,0
134,PERFECT TOUR SRL,B-DUL REPUBLICII NR 116,PITESTI,ARGES,AGENTIE DE TURISM,0
135,GLOBAL DREAM TOURS,B-DUL REPUBLICII NR 116-118,PITESTI,ARGES,AGENTIE DE TURISM,0
136,MATDAN TOURS,B-DUL REPUBLICII NR 46,PITESTI,ARGES,AGENTIE DE TURISM,0
137,PARALELA 45 TURISM,B-DUL REPUBLICII NR 79,PITESTI,ARGES,AGENTIE DE TURISM,0
138,TEO TUR,CALEA CRAIOVEI NR 36,PITESTI,ARGES,AGENTIE DE TURISM,0
139,KRISS MUNTENIA TRAVEL,PIATA VASILE MILEA CASA DE MODA,PITESTI,ARGES,AGENTIE DE TURISM,0
140,NIKOS TRAVEL,PIATA VASILE MILEA NR 2,PITESTI,ARGES,AGENTIE DE TURISM,0
142,CARPATI TRAVEL,P-TA VASILE MILEA NR 4,PITESTI,ARGES,AGENTIE DE TURISM,0
143,TOUR SIM,STR DEALURILOR NR 2,PITESTI,ARGES,AGENTIE DE TURISM,0
144,NICO HAPPY TRAVEL,STR DR CAROL DAVILA NR 7 BL B 1,PITESTI,ARGES,AGENTIE DE TURISM,0
145,OK TOUR INTERNATIONAL,STR FRATII GOLESTI NR 104 BL S8,PITESTI,ARGES,AGENTIE DE TURISM,0
146,NEW TRAVEL MUNTENIA,STR GRIVITEI BL A 5 PARTER,PITESTI,ARGES,AGENTIE DE TURISM,0
147,HAPPY HOLIDAY,STR PANSELELOR NR 2,PITESTI,ARGES,AGENTIE DE TURISM,0
148,DISCOVERY,STR REPUBLICII NR 88,PITESTI,ARGES,AGENTIE DE TURISM,0
149,EUROLINES,STR TARGUL DIN VALE NR 54,PITESTI,ARGES,AGENTIE DE TURISM,0
Nr crt,DENUMIRE UNITATE,ADRESA,LOCALITATE,JUDET,TIP UNITATE,STELE
150,FILADELFIA PITESTI,STR TARGUL DIN VALE NR 54,PITESTI,ARGES,AGENTIE DE TURISM,0
151,DISCOVERY BLUE,STR VICTORIEI COMPLEX VICTORIEI,PITESTI,ARGES,AGENTIE DE TURISM,0
152,ACTIV TOURS&TRAVELS,STR VICTORIEI NR 9,PITESTI,ARGES,AGENTIE DE TURISM,0
153,TUI TRAVEL,STR VICTORIEI NR 9 TEATRUL ALEXA,PITESTI,ARGES,AGENTIE DE TURISM,0
154,HOTEL CARA,STR I.C.BRATIANU NR 2,PITESTI,ARGES,HOTEL,4
155,PENSIUNEA 3 PONEI,STR PRINCIPALA NR 47,POIENARI,ARGES,PENSIUNE,3
156,HOTEL HANUL RUCAR,STR BRASOVULUI NR 45,RUCAR,ARGES,HOTEL,3
157,PENSIUNEA TURIST WELCOME,STR BRASOVULUI NR 151A,RUCAR,ARGES,PENSIUNE,2
158,PAPPACABANA PENSIUNE,STR PRINCIPALA,RUCAR,ARGES,PENSIUNE,3
159,PENSIUNEA TOPOLOGUL,STR PRINCIPALA NR 21,SALATRUCU,ARGES,PENSIUNE,2
160,POMICOM 2,SAT SATIC COMUNA RUCAR,SATIC,ARGES,PENSIUNE,2
161,PENSIUNEA LIVADA BUNICULUI,STR EROU M UNGURENUS NR 14 COMUN,STANESTI,ARGES,PENSIUNE,4
162,PENSIUNEA AZUR,STR GARII NR 1,STEFANESTI,ARGES,PENSIUNE,2
163,PENSIUNEA FLORICA,STR GARII NR 1,STEFANESTI,ARGES,PENSIUNE,2
164,PENSIUNEA FLORICEL,STR PRINCIPALA NR 341,STOENESTI,ARGES,PENSIUNE,3
165,PENSIUNEA DORU,STR PRINCIPALA SAT COTENESTI,STOENESTI,ARGES,PENSIUNE,2
