Nr crt,DENUMIRE UNITATE,ADRESA,LOCALITATE,JUDET,TIP UNITATE,STELE
1777,CABANA TURISTICA BALU,STR HARGHITA BAI NR 59,HARGHITA BAI,HARGHITA,CABANA,2
1778,FORIK MARIA-MAGDOLNA PF-PENSIUNE,"STR. PRINCIPALA,NR. 588",IZVORUL MURES,HARGHITA,PENSIUNE,2
1779,SIMON IREN-PENSIUNEA IRENKE,"STR.GARII,NR.105",IZVORUL MURES,HARGHITA,PENSIUNE,2
1780,SZABO JOZSEF-PENSIUNEA SZABO,"STR.GARII,NR.118",IZVORUL MURES,HARGHITA,PENSIUNE,2
1781,ALBERT PIROSKA-PENSIUNE,"STR.GARII,NR.32",IZVORUL MURES,HARGHITA,PENSIUNE,2
1782,ZOL-HUN-PENSIUNEA KAFFAI,"STR.PRINCIPALA,NR.96",IZVORUL MURES,HARGHITA,PENSIUNE,2
1783,PENSIUNEA FESZEK,STR BOROS NR 604,IZVORUL MURESULUI,HARGHITA,PENSIUNE,2
1784,PENSIUNEA CABANA GENTIANA,STR PRINCIPALA NR 609,IZVORUL MURESULUI,HARGHITA,PENSIUNE,2
1785,PENSIUNEA VIORICA,STR PRINCIPALA NR 633,IZVORUL MURESULUI,HARGHITA,PENSIUNE,2
1786,PENSIUNEA RUBIN,STR PRINCIPALA FN SAT BORZONT,JOSENI,HARGHITA,PENSIUNE,3
1787,HOTEL LACU ROSU,STR PRINCIPALA NR 32,LACU ROSU,HARGHITA,HOTEL,2
1788,PENSIUNEA CSILLAG,STR PRINCIPALA NR 634 SAT LUNCA,LUNCA DE JOS,HARGHITA,PENSIUNE,4
Nr crt,DENUMIRE UNITATE,ADRESA,LOCALITATE,JUDET,TIP UNITATE,STELE
1789,PENSIUNEA BAGOLYVAR,STR VALEA GARBEA NR 873,LUNCA DE SUS,HARGHITA,PENSIUNE,3
1790,CARPATHIAN ESCAPES,ALEEA CIOCARLIEI NR 1 AP II/1,MIERCUREA CIUC,HARGHITA,AGENTIE DE TURISM,0
1791,BOOMERANG TRAVEL,STR GAL SANDOR NR 16,MIERCUREA CIUC,HARGHITA,AGENTIE DE TURISM,0
1792,CHARTER TRANS AIR AGENCY,STR KOSSUTH LAJOS NR 26,MIERCUREA CIUC,HARGHITA,AGENTIE DE TURISM,0
1793,HOTEL FENYO,STR NICOLAE BALCESCU NR 11,MIERCUREA CIUC,HARGHITA,HOTEL,3
1794,HOTEL PARK,STR SZEK NR 58A,MIERCUREA CIUC,HARGHITA,HOTEL,3
1795,PENSIUNEA KORONA,STR GEORGE COSBUC NR 38,MIERCUREA CIUC,HARGHITA,PENSIUNE,2
1796,PENSIUNEA SIESTA,STR LELICENI NR 33A,MIERCUREA CIUC,HARGHITA,PENSIUNE,3
1797,PENSIUNEA IULIU'S,STR ZSOGODI NAGY IMRE NR 202A,MIERCUREA CIUC,HARGHITA,PENSIUNE,3
1798,PENSIUNEA AJNAD,STR P-PALA NR 240 SAT NADEJDEA,MIHAILENI,HARGHITA,PENSIUNE,3
1799,PENSIUNEA ILYES,STR PRINCIPALA NR 383,MUGENI,HARGHITA,PENSIUNE,3
1800,PENSIUNEA ERDELYI KULCSOSHAZ,SAT SUBCETATE COMUNA ZETEA,NAGYASZOLOKA,HARGHITA,PENSIUNE,3
1801,BOOMERANG TRAVEL,STR KOSUTH LAJOS NR 47,ODORHEIU SECUIESC,HARGHITA,AGENTIE DE TURISM,0
1802,HOSTEL SEPTIMIA RESORT WELLNESS&SPA,STR ORBAN BALAZS NR 106,ODORHEIU SECUIESC,HARGHITA,HOSTEL,4
1803,HOSTEL TRANZIT,STR TOMPA LASZLO NR 36,ODORHEIU SECUIESC,HARGHITA,HOSTEL,2
1804,HOTEL TARNAVA,P-TA LIBERTATII NR 16,ODORHEIU SECUIESC,HARGHITA,HOTEL,3
1805,HOTEL EUROPA,STR KOSSUTH LAJOS NR 23,ODORHEIU SECUIESC,HARGHITA,HOTEL,3
1806,HOTEL SEPTIMIA RESORT,STR ORBAN BALAZS NR 108,ODORHEIU SECUIESC,HARGHITA,HOTEL,5
1807,PENSIUNEA VILLA VITAE,STR BISERICII FN,ODORHEIU SECUIESC,HARGHITA,PENSIUNE,3
1808,PENSIUNEA PANORAMA,STR MORICZ ZSIGMOND NR 76,ODORHEIU SECUIESC,HARGHITA,PENSIUNE,2
1809,PENSIUNE PETOFI,STR PETOFI SANDOR NR 2,ODORHEIU SECUIESC,HARGHITA,PENSIUNE,3
1810,PENSIUNEA KORONA,STR PIATA LIBERTATII NR 12/2,ODORHEIU SECUIESC,HARGHITA,PENSIUNE,3
1811,PENSIUNEA HORIZONT,STR SZELES JANOS NR 6,ODORHEIU SECUIESC,HARGHITA,PENSIUNE,3
1812,PENSIUNEA ARPAS-HAZ,STR SZENTJANOS NR 72,ODORHEIU SECUIESC,HARGHITA,PENSIUNE,3
1813,HOTEL PRAID,STR PRINCIPALA NR 1098,PRAID,HARGHITA,HOTEL,2
1814,PENSIUNEA BRIGITTA,STR GARII NR 24A,PRAID,HARGHITA,PENSIUNE,2
1815,PENSIUNEA CASA CIKLAMEN,STR NAGYFIAK NR 465,PRAID,HARGHITA,PENSIUNE,2
1816,PENSIUNEA NAPRAFORGO,STR PRINCIPALA NR 55/A,PRAID,HARGHITA,PENSIUNE,2
1817,PENSIUNEA SEBELIN,STR PRINCIPALA NR 605F,PRAID,HARGHITA,PENSIUNE,3
1818,PENSIUNEA SOVIRAG,STR SAR NR 25/B,PRAID,HARGHITA,PENSIUNE,2
1819,PENSIUNEA SO-HAJ,STR SAR NR 25/C SAT PRAID,PRAID,HARGHITA,PENSIUNE,3
1820,PENSIUNEA MEDVEHAZ,STR TANAROK NR 1152,PRAID,HARGHITA,PENSIUNE,3
1821,PENSIUNEA NAPSUGAR,STR TANOROK NR 1149,PRAID,HARGHITA,PENSIUNE,3
1822,PENSIUNE NAGY LAK I,STR PRINCIPALA FN,SUBCETATE (BARAJ ZETEA),HARGHITA,PENSIUNE,2
1823,HOTEL MURES,STR LIBERTATII NR 6,TOPLITA,HARGHITA,HOTEL,2
1824,SYLVANIA TOURS SRL-PENSIUNEA SZE,"STR. BRAZILOR,NR.12",TUSNAD-BAI,HARGHITA,PENSIUNE,2
1825,KEVI S TURIST SRL-PENSIUNEA CSOM,"STR. KOVACS MIKLOS,NR.64",TUSNAD-BAI,HARGHITA,PENSIUNE,2
1826,OLT ST SRL-PENSIUNEA OLT,"STR. OLTULUI,NT. 71",TUSNAD-BAI,HARGHITA,PENSIUNE,2
1827,FATANYEROS PANZIO PENSIUNE,STR PRINCIPALA NR 1015/A,VALEA RECE,HARGHITA,PENSIUNE,3
1828,DESAG VILLA PENSION,STR DESAGPATAK NR 15,ZETEA,HARGHITA,PENSIUNE,3
1829,PENSIUNEA PEPE,STR PRINCIPALA FN,ZETEA,HARGHITA,PENSIUNE,3
1830,PENSIUNEA ARCHIA,STR ARCHIA NR 92,ARCHIA,HUNEDOARA,PENSIUNE,3
1831,PENSIUNEA TRANDAFIRUL GALBEN,STR PRINCIPALA NR 26 SAT TEBEA,BAIA DE CRIS,HUNEDOARA,PENSIUNE,3
1832,PENSIUNEA LA SALISTE,STR PRINCIPALA NR 110,CARNESTI,HUNEDOARA,PENSIUNE,2
1833,ATLAS TUR,ALEEA PATRIEI BL E 1 SC 1 AP 2,DEVA,HUNEDOARA,AGENTIE DE TURISM,0
1834,RODYFOR TRAVEL,B-DUL DECEBAL BL 110,DEVA,HUNEDOARA,AGENTIE DE TURISM,0
1835,TUI TRAVEL,B-DUL DECEBAL BL J PARTER,DEVA,HUNEDOARA,AGENTIE DE TURISM,0
1836,CHRISTIAN TOUR,B-DUL DECEBAL BL S SC B,DEVA,HUNEDOARA,AGENTIE DE TURISM,0
1837,NEXUS TRAVEL,B-DUL DECEBAL NR 4A,DEVA,HUNEDOARA,AGENTIE DE TURISM,0
Nr crt,DENUMIRE UNITATE,ADRESA,LOCALITATE,JUDET,TIP UNITATE,STELE
1838,FILADELFIA DEVA,B-DUL IULIU MANIU NR BL I,DEVA,HUNEDOARA,AGENTIE DE TURISM,0
1839,TUI TRAVEL,CALEA ZARANDULUI NR 87 SHOPPING,DEVA,HUNEDOARA,AGENTIE DE TURISM,0
1840,CIPRUX AGENCY,STR ANEMONELOR NR 53,DEVA,HUNEDOARA,AGENTIE DE TURISM,0
1841,ENERGETICA TOUR,STR PIETROASA NR 23 BL 2 PARTER,DEVA,HUNEDOARA,AGENTIE DE TURISM,0
1842,ALEXANDER HOUSE DEVA,STR 22 DECEMBRIE NR 195,DEVA,HUNEDOARA,CAMERE DE INCHIRIAT,3
1843,HOTEL DEVA,B-DUL 22 DECEMBRIE NR 110,DEVA,HUNEDOARA,HOTEL,3
1844,HOTEL SARMIS,STR MARESAL AVERESCU NR 7,DEVA,HUNEDOARA,HOTEL,3
1845,PENSIUNEA OLIMPIA,STR HOREA NR 100 A,DEVA,HUNEDOARA,PENSIUNE,3
1846,PENSIUNE PLAY,STR MIHAI EMINESCU NR 124,DEVA,HUNEDOARA,PENSIUNE,3
1847,PENSIUNEA ROMA,STR ULPIA PT 27,DEVA,HUNEDOARA,PENSIUNE,4
1848,PENSIUNEA AGREMENTUL,STR GERMISARA BL P1 PARTER,GEOAGIU,HUNEDOARA,PENSIUNE,2
1849,HOTEL GERMISARA,STR PRINCIPALA NR 1B,GEOAGIU BAI,HUNEDOARA,HOTEL,2
1850,VILA MIHU,STR SCOLII NR 25A,GEOAGIU BAI,HUNEDOARA,VILA,3
1851,VILA SANDA,STR VILELOR NR 5,GEOAGIU BAI,HUNEDOARA,VILA,2
1852,CABANA POIANA CODRULUI,STR POIANA FN,GHELARI,HUNEDOARA,CABANA,3
1853,PENSIUNE TURISTICA,STR PROGRESULUI NR 23,HATEG,HUNEDOARA,PENSIUNE,3
1854,PENSIUNEA SARMIS CRISTAL,STR PROGRESULUI NR 57,HATEG,HUNEDOARA,PENSIUNE,3
1855,VILA BELVEDERE,STR PROGRESULUI NR 59,HATEG,HUNEDOARA,VILA,3
1856,PENSIUNEA VILA VECHE,STR TIMISOAREI NR 6,HATEG,HUNEDOARA,VILA,2
1857,EXIMTUR,STR AVRAM IANCU NR 10 BL C2 SC B,HUNEDOARA,HUNEDOARA,AGENTIE DE TURISM,0
1858,TUI TRAVEL,STR GEORGE ENESCU NR 14 LANGA FA,HUNEDOARA,HUNEDOARA,AGENTIE DE TURISM,0
1859,MADIS TOUR SRL,STR GEORGE ENESCU NR 2 BL 2 AP 2,HUNEDOARA,HUNEDOARA,AGENTIE DE TURISM,0
1860,CRISOLDO TUR,STR GEORGE ENESCU NR 20,HUNEDOARA,HUNEDOARA,AGENTIE DE TURISM,0
1861,RADULEAN TOUR,STR VICTORIEI NR 19 PARTER,HUNEDOARA,HUNEDOARA,AGENTIE DE TURISM,0
1862,HOTEL RUSCA,B-DUL DACIA NR 10,HUNEDOARA,HUNEDOARA,HOTEL,3
1863,CABANA PLATOUL SOARELUI,PLATOUL SOARELUI MASIVUL STRAJA,LUPENI,HUNEDOARA,CABANA,3
1864,CABANA TURISTICA EDELWEISS,STRAJA TRUPUL I FN,LUPENI,HUNEDOARA,CABANA,2
1865,PENSIUNEA DAIANA,STR PRINCIPALA NR 1,LUPENI,HUNEDOARA,PENSIUNE,3
1866,VILA URSU,MASIVUL STRAJA PARCELA 32,LUPENI,HUNEDOARA,VILA,3
1867,VILA ALPIN,STRAJA TRUP II NR 31,LUPENI,HUNEDOARA,VILA,3
1868,TROPICAL TUR,STR NICOLAE BALCESCU NR 19,ORASTIE,HUNEDOARA,AGENTIE DE TURISM,0
1869,EUROLINES,STR 1 DECEMBRIE 1918 BL 108 AP 3,PETROSANI,HUNEDOARA,AGENTIE DE TURISM,0
1870,AXEL TRAVEL SRL,STR 1 DECEMBRIE 1918 BL 67 PARTE,PETROSANI,HUNEDOARA,AGENTIE DE TURISM,0
1871,ROGVAIV TUR,STR 1 DECEMBRIE 1918 NR 118,PETROSANI,HUNEDOARA,AGENTIE DE TURISM,0
1872,MONDO TRAVEL,STR CONSTRUCTORUL BL 1A,PETROSANI,HUNEDOARA,AGENTIE DE TURISM,0
1873,FILADELFIA PETROSANI,STR HOREA NR 3 BL 63 C12,PETROSANI,HUNEDOARA,AGENTIE DE TURISM,0
1874,PRIETENIA TURISM,STR NICOLAE BALCESCU NR 10,PETROSANI,HUNEDOARA,AGENTIE DE TURISM,0
1875,CABANA POPASUL HAIDUCILOR,STR MALEIA NR 175,PETROSANI,HUNEDOARA,CABANA,2
1876,HOTEL RUSU,STR MASIV PARANG FN,PETROSANI,HUNEDOARA,HOTEL,3
1877,PENSIUNEA ANCUTA,COMPLEX ALPIN RAUSOR-RETEZAT,RAU DE MORI,HUNEDOARA,PENSIUNE,3
1878,PENSIUNEA ULPIA TRAIANA,NR 153,SARMISEGETUSA,HUNEDOARA,PENSIUNE,3
1879,PENSIUNEA FISH VALLEY,STR CAMPU LUI NEAG NR 188A,URICANI,HUNEDOARA,PENSIUNE,2
1880,PENSIUNEA FLORI,STR CALEA CRISULUI NR 48,VATA DE JOS,HUNEDOARA,PENSIUNE,3
1881,PENSIUNEA TURISTICA KUKULOO,STR PRINCIPALA NR 1/C,ZETEA,HUNEDOARA,PENSIUNE,3
1882,HOTEL DANA,STR ANA IPATESCU NR 1,AMARA,IALOMITA,HOTEL,2
1883,HOTEL ECLIPSA,STR ANA IPATESCU NR 1,AMARA,IALOMITA,HOTEL,2
1884,HOTEL PARC,STR ANA IPATESCU NR 1,AMARA,IALOMITA,HOTEL,2
1885,HOTEL IALOMITA,STR LACULUI NR 1,AMARA,IALOMITA,HOTEL,3
1886,HOTEL EVER GREEN,STR LIBERTATII NR 1,AMARA,IALOMITA,HOTEL,2
Nr crt,DENUMIRE UNITATE,ADRESA,LOCALITATE,JUDET,TIP UNITATE,STELE
1887,I ENJOY TRAVEL,ALEEA SIRETULUI BL A1 SC C PARTER AP 31,FETESTI,IALOMITA,AGENTIE DE TURISM,0
1888,FIX TOUR SRL,B-DUL COSMINULUI BL BN 5,SLOBOZIA,IALOMITA,AGENTIE DE TURISM,0
1889,TRIPI,B-DUL MATEI BASARAB ANS 89AP BL,SLOBOZIA,IALOMITA,AGENTIE DE TURISM,0
1890,TERRA TOURISM,B-DUL MATEI BASARAB NR 71 BL Z S,SLOBOZIA,IALOMITA,AGENTIE DE TURISM,0
1891,AMARYLLIS TOUR,STR MATEI BASARAB BL 29 SC C,SLOBOZIA,IALOMITA,AGENTIE DE TURISM,0
1893,NIMA RENT,B-DUL CHIMIEI NR 2,URZICENI,IALOMITA,AGENTIE DE TURISM,0
1894,NIMA RENT,CALEA BUCURESTI COMPLEX ORIZONT,URZICENI,IALOMITA,AGENTIE DE TURISM,0
1895,HOTEL ROYAL,STR CALEA BUCURESTI NR 122,URZICENI,IALOMITA,HOTEL,3
1896,PENSIUNEA ROYAL,STR PLOPULUI NR 26,URZICENI,IALOMITA,PENSIUNE,4
1897,POPAS CRISTIAN,CALEA CRISTESTI NR 57,HOLBOCA,IASI,PENSIUNE,3
1898,ANEMARY,B-DUL ALEXANDRU CEL BUN BL H6 PARTER,IASI,IASI,AGENTIE DE TURISM,0
1899,EXIMTUR,B-DUL INDEPENDENTEI NR 10 BL R 4,IASI,IASI,AGENTIE DE TURISM,0
1900,TRAVIS TOURISM,B-DUL INDEPENDENTEI NR 15-17 BL,IASI,IASI,AGENTIE DE TURISM,0
1901,MALYA INVEST,B-DUL SOCOLA NR 13 BL D6 SC A PARTER AP 3,IASI,IASI,AGENTIE DE TURISM,0
1902,DISCOVERY TRAVEL,B-DUL STEFAN CEL MARE NR 67,IASI,IASI,AGENTIE DE TURISM,0
1903,PLUS COM,B-DUL STEFAN CEL MARE NR 8 PARTE,IASI,IASI,AGENTIE DE TURISM,0
1904,CLIVEN TURISM,B-DUL STEFAN CEL MARE NR 8-12,IASI,IASI,AGENTIE DE TURISM,0
1905,CHRISTIAN TOUR,B-DUL STEFAN CEL MARE SI SFANT N,IASI,IASI,AGENTIE DE TURISM,0
1906,AGENTIE DE TURISM ATLANTIC TURISM,B-DUL TUDOR VLADIMIRESCU NR 1,IASI,IASI,AGENTIE DE TURISM,0
1907,SINDI TOUR,B-DUL TUTORA NR 2 BL B2 SC B PAR,IASI,IASI,AGENTIE DE TURISM,0
1908,BOOK&TRAVEL,CALEA CHISINAULUI NR 29,IASI,IASI,AGENTIE DE TURISM,0
1909,TRAVEL 4 YOU,PIATA UNIRII NR 6 BIROU 2,IASI,IASI,AGENTIE DE TURISM,0
1910,CENTRAL TRAVEL,PIATA UNIRII PASAJUL PIETONAL CO,IASI,IASI,AGENTIE DE TURISM,0
1911,SIGMA ROYAL,P-TA UNIRII NR 9-11 AGENTIA DE V,IASI,IASI,AGENTIE DE TURISM,0
1912,BOOK&TRAVEL,SOS NICOLINA NR 116,IASI,IASI,AGENTIE DE TURISM,0
1913,PRISMA TECH,SOS SARARIE NR 74,IASI,IASI,AGENTIE DE TURISM,0
1914,ALMA TRIP,SOSEAUA MOARA DE FOC NR 35 PARTE,IASI,IASI,AGENTIE DE TURISM,0
1915,AGENTIA DE TURISM EUROPA,STR 14 DECEMBRIE 1989 NR 4 PARTE,IASI,IASI,AGENTIE DE TURISM,0
1916,TUI TRAVEL,STR 14 DECEMBRIE 1989 NR 4BIS,IASI,IASI,AGENTIE DE TURISM,0
1917,DYMAS TRAVEL,STR ALEXANDRU SLATINEANU NR 6,IASI,IASI,AGENTIE DE TURISM,0
1918,SIMIAN TURISM,STR ANASTASIE PANU NR 1A,IASI,IASI,AGENTIE DE TURISM,0
1919,AGENTIA UNITA TOUR,STR ANASTASIE PANU NR 31,IASI,IASI,AGENTIE DE TURISM,0
1920,ARIAS HOLIDAYS,STR ANASTASIE PANU NR 46 SP COM A08 HALA COM,IASI,IASI,AGENTIE DE TURISM,0
1921,NEXT VOYAGE,STR ANASTASIE PANU NR 54 BL H1 PARTER,IASI,IASI,AGENTIE DE TURISM,0
1922,INTERACTIS TOUR,STR ARCU NR 23,IASI,IASI,AGENTIE DE TURISM,0
1923,ANA TOURS SERV,STR ARMEANA NR 13 PARTER BL G6,IASI,IASI,AGENTIE DE TURISM,0
1924,DEDAL TUR,STR COSTACHE NEGRI NR 43 PARTER,IASI,IASI,AGENTIE DE TURISM,0
1925,ROLANDIA,STR ETERNITATE NR 76 ET 4 BIR E4,IASI,IASI,AGENTIE DE TURISM,0
1926,ANEMARY,STR GARII NR 14-16 BL L23 PARTER,IASI,IASI,AGENTIE DE TURISM,0
1927,ALEX TOURS,STR GHEORGHE GHIBANESCU NR 1,IASI,IASI,AGENTIE DE TURISM,0
1928,PRIMA TOURS,STR LAPUSNEANU NR 16,IASI,IASI,AGENTIE DE TURISM,0
1929,TOTEM TURISM,STR LAPUSNEANU NR 7-9 PARTER,IASI,IASI,AGENTIE DE TURISM,0
1930,ALFATRAVEL SERVICES,STR NICOLINA NR 41 BL 966A SC A,IASI,IASI,AGENTIE DE TURISM,0
1931,IMPERIAL TURISM,STR PACURARI NR 158 BL 592,IASI,IASI,AGENTIE DE TURISM,0
1932,AGENTIE DE TURISM ATLANTIC TURISM,STR PALAS NR 7A,IASI,IASI,AGENTIE DE TURISM,0
1933,PRISMA TECH,STR PALAS NR 7A,IASI,IASI,AGENTIE DE TURISM,0
1934,TUI TRAVEL,STR PALAS NR 7A PALAS MALL,IASI,IASI,AGENTIE DE TURISM,0
1935,B.T.T. TOURS,STR PALAT NR 48,IASI,IASI,AGENTIE DE TURISM,0
1936,UNLIMITED TRAVEL,STR SARARIEI COLT CU STR STIHI P,IASI,IASI,AGENTIE DE TURISM,0
Nr crt,DENUMIRE UNITATE,ADRESA,LOCALITATE,JUDET,TIP UNITATE,STELE
1937,ACROSS TRAVELS,STR SFANTUL TEODOR NR 16,IASI,IASI,AGENTIE DE TURISM,0
1938,FILADELFIA IASI,STR SILVESTRU BL L1,IASI,IASI,AGENTIE DE TURISM,0
1939,ALEX TOURS,STR STRAPUNGERE SILVESTRU NR 10,IASI,IASI,AGENTIE DE TURISM,0
1940,PARALELA 45 TURISM,STR VASILE ALECSANDRI NR 2,IASI,IASI,AGENTIE DE TURISM,0
1941,MG HOUSE 2,STR ION CREANGA NR 87A BL C 2 ET,IASI,IASI,CAMERE DE INCHIRIAT,2
1942,HOTEL GRAND HOTEL TRAIAN,PIATA UNIRII NR 1,IASI,IASI,HOTEL,4
1943,HOTEL UNIREA,PIATA UNIRII NR 5,IASI,IASI,HOTEL,4
1944,HOTEL BELLARIA,SOS BUCIUM NR 7,IASI,IASI,HOTEL,4
1945,HOTEL ASTORIA,STR ALEXANDRU LAPUSNEANU NR 1,IASI,IASI,HOTEL,3
1946,HOTEL MOLDOVA,STR ANASTASIE PANU NR 31,IASI,IASI,HOTEL,2
1947,HOTEL TUDOR PALACE,STR CIURCHI NR 30,IASI,IASI,HOTEL,3
1948,HOTEL SELECT,STR PTA 14 DECEMBRIE 1989 NR 2,IASI,IASI,HOTEL,4
1949,MOTEL BUCIUM,SOS IASI-VASLUI KM 12,IASI,IASI,MOTEL,3
1950,PENSIUNEA GAROFITA,SOS BARNOVA NR 101B,IASI,IASI,PENSIUNE,3
1951,PENSIUNEA ROSEMONT,STR VISAN NR 2D,IASI,IASI,PENSIUNE,3
1952,FILADELFIA ONESTI,B-DUL REPUBLICII NR 70,ONESTI,IASI,AGENTIE DE TURISM,0
1953,PARADISE TOUR AGENCY,STR REPUBLICII NR 27,ONESTI,IASI,AGENTIE DE TURISM,0
1954,ALEX TOURS,STR CEFERISTILOR BL 29 PARTER CA,PASCANI,IASI,AGENTIE DE TURISM,0
1955,LUIZA TRAVEL,STR CUZA VODA BL D7,PASCANI,IASI,AGENTIE DE TURISM,0
1956,ALISEB TOURS,STR CUZA VODA NR D2 ESPLANADA,PASCANI,IASI,AGENTIE DE TURISM,0
1957,MARIA TRAVEL,STR GARII-COMPLEX SIRETUL NR 91 PARTER,PASCANI,IASI,AGENTIE DE TURISM,0
1958,ALEX TOURS,STR STEFAN CEL MARE BL A5 PARTER,PASCANI,IASI,AGENTIE DE TURISM,0
1959,BIROUL DE TURISM,STR STEFAN CEL MARE NR 13 ET 1,PASCANI,IASI,AGENTIE DE TURISM,0
1960,HOTEL CORONA,SOS NATIONALA E 85,RAZBOIENI,IASI,HOTEL,3
1961,HOTEL CORAL,STR VALEA LUI DAVID NR 2,VALEA LUPULUI,IASI,HOTEL,3
1962,REBEL TRAVEL.RO,STR I L CARAGIALE NR 91 TARLAUA,DUDU,ILFOV,AGENTIE DE TURISM,0
1963,VIP VOYAJ,STR TINERETULUI NR 13,JILAVA,ILFOV,AGENTIE DE TURISM,0
1964,PUZZLE TRAVEL,CALEA BUCURESTILOR NR 82 BL B2-2,OTOPENI,ILFOV,AGENTIE DE TURISM,0
1965,KATY TRAVEL,SOSEAUA BERCENI NR 3 CAM 12,POPESTI LEORDENI,ILFOV,AGENTIE DE TURISM,0
1966,BUNGALOW SNAGOV SAT,STR PRINCIPALA FN SAT SNAGOV,SNAGOV,ILFOV,BUNGALOW,3
1967,HOTEL PAVILION CENTRAL,STR PRINCIPALA FN SAT SNAGOV,SNAGOV,ILFOV,HOTEL,3
1968,VILA DIANA 1,STR PRINCIPALA FN SAT SNAGOV,SNAGOV,ILFOV,VILA,3
1969,VILA DIANA 2,STR PRINCIPALA FN SAT SNAGOV,SNAGOV,ILFOV,VILA,3
1970,VILA IEDERA 1,STR PRINCIPALA FN SAT SNAGOV,SNAGOV,ILFOV,VILA,4
1971,VILA IEDERA 2,STR PRINCIPALA FN SAT SNAGOV,SNAGOV,ILFOV,VILA,1
1972,PENSIUNEA MARY,STR MIHAI EMINESCU NR 10,TANCABESTI,ILFOV,PENSIUNE,3
1973,WHOLE HOLIDAY SRL,STR LINISTEI NR 13,VIDRA,ILFOV,AGENTIE DE TURISM,0
1974,REDEX TOUR,BD TRAIAN NR 5 SC A AP 1,BAIA MARE,MARAMURES,AGENTIE DE TURISM,0
1975,KA TOUR,B-DUL BUCURESTI BL 11 AP 41,BAIA MARE,MARAMURES,AGENTIE DE TURISM,0
1976,BUSOLA TRAVEL,B-DUL BUCURESTI NR 12/1 PARTER,BAIA MARE,MARAMURES,AGENTIE DE TURISM,0
1977,SFARA TOURS,B-DUL BUCURESTI NR 144,BAIA MARE,MARAMURES,AGENTIE DE TURISM,0
1978,FILADELFIA BAIA MARE,B-DUL BUCURESTI NR 15,BAIA MARE,MARAMURES,AGENTIE DE TURISM,0
1979,EXIMTUR,B-DUL TRAIAN NR 5,BAIA MARE,MARAMURES,AGENTIE DE TURISM,0
1980,EXPERT TRAVEL,B-DUL TRAIAN NR 6,BAIA MARE,MARAMURES,AGENTIE DE TURISM,0
1981,TUI TRAVEL,B-DUL TRAIAN NR 7,BAIA MARE,MARAMURES,AGENTIE DE TURISM,0
1982,VACATIORAMA,B-DUL TRAIAN NR 9,BAIA MARE,MARAMURES,AGENTIE DE TURISM,0
1983,IDEAL TOUR,B-DUL UNIRII NR 3,BAIA MARE,MARAMURES,AGENTIE DE TURISM,0
1984,MARA INTERNATIONAL TOUR,B-DUL UNIRII NR 5,BAIA MARE,MARAMURES,AGENTIE DE TURISM,0
1985,NORD TRAVEL,STR DECEBAL NR 2,BAIA MARE,MARAMURES,AGENTIE DE TURISM,0
Nr crt,DENUMIRE UNITATE,ADRESA,LOCALITATE,JUDET,TIP UNITATE,STELE
1986,SFARA TOURS,STR GEORGE COSBUC NR 12,BAIA MARE,MARAMURES,AGENTIE DE TURISM,0
1987,HORUS TOUR,STR GEORGE COSBUC NR 9,BAIA MARE,MARAMURES,AGENTIE DE TURISM,0
1988,STYLE TRAVEL,STR OLTENIEI NR 4,BAIA MARE,MARAMURES,AGENTIE DE TURISM,0
1989,SFARA TOURS,STR VICTORIEI NR 73,BAIA MARE,MARAMURES,AGENTIE DE TURISM,0
1990,TUI TRAVEL,STR VICTORIEI NR 73,BAIA MARE,MARAMURES,AGENTIE DE TURISM,0
1993,PENSIUNEA FLOARE DE COLTI,STR VASILE LUCACIU NR 48,BAIA MARE,MARAMURES,CAMERE DE INCHIRIAT,2
1994,HOTEL CARPATI,STR MINERVA NR 16,BAIA MARE,MARAMURES,HOTEL,2
1995,PENSIUNEA DEALUL FLORILOR,STR DEALUL FLORILOR NR 12,BAIA MARE,MARAMURES,PENSIUNE,3
1996,CABANA TURISTICA GUTAI,STR GEORGE COSBUC NR 121,BAIA SPRIE,MARAMURES,CABANA,2
1997,CABANA TURISTICA PIETROSU,STR GEORGE COSBUC NR 121,BAIA SPRIE,MARAMURES,CABANA,2
1998,CABANA TURISTICA TIBLES,STR GEORGE COSBUC NR 121,BAIA SPRIE,MARAMURES,CABANA,2
1999,HOTEL TURIST SUIOR,STR GEORGE COSBUC NR 121,BAIA SPRIE,MARAMURES,HOTEL,2
2000,CABANA TURISTICA IZA,STR PRINCIPALA NR 281,BARSANA,MARAMURES,CABANA,3
2001,CABANA TITI 3,STR AL I CUZA NR 134/A,BORSA,MARAMURES,CABANA,2
2002,CABANA TITI 4,STR AL I CUZA NR 134/A,BORSA,MARAMURES,CABANA,3
2003,CASUTE TIP CAMPING TITI,STR AL I CUZA NR 134/A,BORSA,MARAMURES,CAMPING,3
2004,HOTEL NORD,STR ALEXANDRU IOAN CUZA NR 237A,BORSA,MARAMURES,HOTEL,2
2005,PENSIUNEA TITI,STR AL I CUZA NR 134/A,BORSA,MARAMURES,PENSIUNE,3
2006,PENSIUNEA ANCA,STR BRADET NR 27,BORSA,MARAMURES,PENSIUNE,2
2007,PENSIUNEA CRIPENEL,STR BRADET NR 33F,BORSA,MARAMURES,PENSIUNE,2
